"time","S_c1","C_c1","I_c1","VS_c1","VC_c1","S_h1","C_h1","I_h1","VS_h1","VC_h1","D_h1","CInc_1a","CInc_1b","CInc_1c","CInc_1d","col_adm","col_discharges","admissions","discharges","inc_bsi_hosp","inc_hosp_onset","total_cases"
15,78546.3519409101,1487.54246587024,0.10559321722549,0,0,377.965631577979,38.6537672920733,19.3806011299352,0,0,2128.79669790411,356728.619332319,5599.1237586703,5598.05949776741,4112.26477386586,27.0168566136704,87.7703665093061,969.792224994972,965.004382445864,0.0848249427754126,1.89251405188952,1.97733899466493
16,78558.3775983848,1475.51767186224,0.104729750560573,0,0,376.777576856173,39.1267890101746,20.0956341336398,0,0,2129.22381467934,356734.88033957,5599.20703775838,5598.14362591521,4114.17973760316,28.6998540418924,93.671739366427,1033.44568571701,1028.17369878784,0.0841281478014935,1.91496373729478,1.99909188509628
17,78570.1833798668,1463.71273874735,0.103881383406341,0,0,375.58359205577,39.6281728305409,20.7882351136771,0,0,2129.66615475029,356741.248406082,5599.28964707793,5598.22706931224,4116.11872049307,30.3693160348847,99.6471324112782,1097.00750235923,1091.23624414432,0.0834433970294413,1.93898288991659,2.02242628694603
18,78581.7682061508,1452.1287455675,0.103048279229803,0,0,374.387221622496,40.1517502007697,21.4610281767227,0,0,2130.12326199031,356747.723094195,5599.37159902254,5598.30984018652,4118.08296314175,32.025493055957,105.700368838641,1160.48042079938,1154.19521763164,0.0827708742745017,1.96424264867164,2.04701352294614
19,78593.1318626422,1440.76590667548,0.102230679900824,0,0,373.191502675455,40.6922969409902,22.1162003835429,0,0,2130.59473232513,356754.303667501,5599.45290602209,5598.39195072396,4120.07342563884,33.6686363021525,111.834407371426,1223.86687356016,1217.05345328826,0.082110537443441,1.99046249709227,2.07257303453571
20,78604.2748525451,1429.62371888373,0.101428568776779,0,0,371.99904105339,41.2453846653569,22.7555742812409,0,0,2131.08020463441,356760.989143316,5599.53358049617,5598.47341335869,4122.09083244623,35.2989967626948,118.051480594834,1287.16903458231,1279.81348388875,0.0814626347273588,2.01740680739385,2.09886944212121
21,78615.198285908,1418.70107221717,0.10064187245215,0,0,370.812069275625,41.8072688901192,23.3806618342435,0,0,2131.57935398413,356767.778332095,5599.61363481961,5598.55424053679,4124.13570621967,36.9168245219202,124.353199184993,1350.38885996514,1342.47758840902,0.0808271781061194,2.04487377343503,2.12570095154115
22,78625.9037751913,1407.99635416603,0.0998706401965064,0,0,369.632501049255,42.3747838568671,23.9927150938661,0,0,2132.09188530218,356774.669874717,5599.69308129045,5598.63444450496,4126.20839967623,38.5223681126097,130.740650115528,1413.52812603967,1405.04783638391,0.0802039681675524,2.07269345656823,2.15289742473578
23,78636.3933481234,1397.50753716566,0.0991147084665768,0,0,368.461976680853,42.9452542224924,24.5927690966425,0,0,2132.61752811922,356781.662273787,5599.77193210374,5598.71403761967,4128.30912237278,40.1158739860658,137.214479180945,1476.58846102851,1467.52612479281,0.0795931147067677,2.10072269654302,2.18031581124978
24,78646.6693779133,1387.23224814223,0.0983739420240712,0,0,367.301899313973,43.516425512885,25.1816751731298,0,0,2133.15603245704,356788.753918741,5599.85019932962,5598.79303208419,4130.43796191674,41.697586068899,143.774956362447,1539.57136979781,1529.91420689726,0.0789944645184733,2.12883954396602,2.2078340084845
25,78656.7345157088,1377.16783606878,0.0976482199934514,0,0,366.153471199233,44.0863950081204,25.7601337926342,0,0,2133.70716487804,356795.943110012,5599.9278948972,5598.87143994644,4132.59490493636,43.2677454381142,150.422040452028,1602.47825763946,1592.21371994872,0.0784078622582456,2.1569430196123,2.23535088187054
26,78666.5916409039,1367.3114217565,0.0969373371988183,0,0,365.017719894565,44.653561481417,26.3287186240057,0,0,2134.27070562148,356803.22807708,5600.00503058149,5598.94927318459,4134.77985244651,44.8265900566245,157.155426405773,1665.31044751078,1654.42620527375,0.0778332381469227,2.18494751014896,2.26278074829588
27,78676.243815733,1357.65994315746,0.0962411070892221,0,0,363.895522632144,45.2165791932561,26.8878981745876,0,0,2134.84644604193,356810.606994811,5600.08161799256,5599.02654359321,4136.99263390049,46.37435455338,163.97458864732,1728.06919545516,1716.5531262401,0.0772704086157319,2.21278145398537,2.2900518626011
28,78685.6942578163,1348.21018285972,0.0955593214865788,0,0,362.78761815814,45.7743338635182,27.43804797833,0,0,2135.43418713733,356818.077994088,5600.15766855781,5599.1032628059,4139.23301493056,47.9112698665464,170.878804921991,1790.75569946279,1778.59587857999,0.0767192126922964,2.24038103006569,2.31710024275799
29,78694.9462955913,1338.95881265341,0.0948917527895018,0,0,361.694633171426,46.3258942512816,27.9794725772803,0,0,2136.03373707796,356825.639177445,5600.23319352171,5599.17944229276,4141.50071190301,49.4375632366405,177.867201151546,1853.37111434657,1840.5558077214,0.0761794868567449,2.267696972458,2.34387645931474
30,78704.0033396454,1329.90242218109,0.0942381710895433,0,0,360.617098364132,46.8704824811824,28.5124191546739,0,0,2136.64490968332,356833.288629359,5600.30820394157,5599.25509333908,4143.7954009936,50.9534581225592,184.938779401825,1915.91656091123,1902.43421947073,0.0756510463261293,2.29468909058778,2.37034013691391
31,78712.8688678416,1321.03753381017,0.0935983457646704,0,0,359.555455038176,47.4074610473052,29.0370839145063,0,0,2137.26752374162,356841.024422381,5600.3827106803,5599.33022703648,4146.11672253023,52.4591740536707,192.092431265893,1978.39313004972,1964.23238478533,0.0751336973999059,2.32132153663042,2.39645523403033
32,78721.5464019429,1312.36062602199,0.09297203261368,0,0,358.510068467965,47.9363083969002,29.5536231351225,0,0,2137.90140182228,356848.844625485,5600.45672440386,5599.40485429328,4148.46428846595,53.9549265803235,199.326960893556,2040.8018898924,2025.9515481027,0.0746272567994311,2.3475659357191,2.42219319251853
33,78730.0394910719,1303.86814994346,0.0923589821693053,0,0,357.481237130158,48.4566021159227,30.062160753907,0,0,2138.54636950038,356856.747310229,5600.5302555794,5599.47898582424,4150.83768764256,55.4409272339846,206.641101212331,2103.14389047534,2087.59293277941,0.0741315309587662,2.37339917660574,2.44753070756451
34,78738.351697931,1295.55654311611,0.0917589504587367,0,0,356.46920050205,48.9680048815256,30.5627946164123,0,0,2139.20225474651,356864.730555932,5600.60331447414,5599.55263213876,4153.23649021705,56.9173835063671,214.033527568502,2165.4201674138,2149.15774537087,0.0736463145194648,2.39880257448931,2.47244888900877
35,78746.4865867294,1287.42224157884,0.091171689251098,0,0,355.474146025826,49.4702520349982,31.0556019391642,0,0,2139.86888741513,356872.792454184,5600.67591115496,5599.62580355018,4155.66025157697,58.3844988402127,221.502869793109,2227.6317449822,2210.64717921976,0.0731714114208444,2.4237613599189,2.49693277133974
36,78754.4477130994,1279.46168995351,0.0905969445904877,0,0,354.496215051684,49.9631411385897,31.5406438097141,0,0,2140.54609884908,356880.93111265,5600.74805548859,5599.69851017746,4158.10851564995,59.8424726335762,229.047722401033,2289.77963849476,2272.06241722952,0.0727066272793309,2.44826407298933,2.52097070026866
37,78762.2386155594,1271.67134996989,0.0900344683047289,0,0,353.535508003106,50.4465230638176,32.017968933064,0,0,2141.23372157325,356889.144658287,5600.81975714235,5599.7707619344,4160.5808177398,61.2915002546095,236.666653330892,2351.86485614995,2333.40463401335,0.0722517569365664,2.47230208984729,2.54455384678386
38,78769.8628083161,1264.04770766649,0.0894840149251305,0,0,352.592088861416,50.9202943675338,32.4876167710382,0,0,2141.9315890613,356897.431240063,5600.89102558533,5599.84256853388,4163.07668696041,62.7317730651722,244.358211445836,2413.88840043457,2394.67499752997,0.0718065994806238,2.49586922060644,2.56767582008706
39,78777.3237752194,1256.58727944333,0.088945334832145,0,0,351.665989068346,51.3843907814023,32.9496201502398,0,0,2142.63953556456,356905.789031244,5600.96187008991,5599.91393949627,4165.5956483209,64.1634784519884,252.120932959269,2475.85126915387,2455.87467028384,0.0713709623978502,2.51896136049163,2.59033232288948
