"","year","vacc_coverage","vacc_efficacy","total_cases"
"486",5,0,0.1,2668
"487",5,0,0.2,2668
"488",5,0,0.3,2668
"489",5,0,0.4,2668
"490",5,0,0.5,2668
"491",5,0,0.6,2668
"492",5,0,0.7,2668
"493",5,0,0.8,2668
"494",5,0,0.9,2668
"495",5,0,1,2668
"496",5,0.1,0,2668
"497",5,0.1,0.1,2637
"498",5,0.1,0.2,2606
"499",5,0.1,0.3,2575
"500",5,0.1,0.4,2545
"501",5,0.1,0.5,2514
"502",5,0.1,0.6,2483
"503",5,0.1,0.7,2453
"504",5,0.1,0.8,2422
"505",5,0.1,0.9,2392
"506",5,0.1,1,2361
"507",5,0.2,0,2668
"508",5,0.2,0.1,2606
"509",5,0.2,0.2,2545
"510",5,0.2,0.3,2485
"511",5,0.2,0.4,2425
"512",5,0.2,0.5,2365
"513",5,0.2,0.6,2305
"514",5,0.2,0.7,2246
"515",5,0.2,0.8,2188
"516",5,0.2,0.9,2130
"517",5,0.2,1,2072
"518",5,0.3,0,2668
"519",5,0.3,0.1,2576
"520",5,0.3,0.2,2485
"521",5,0.3,0.3,2396
"522",5,0.3,0.4,2307
"523",5,0.3,0.5,2220
"524",5,0.3,0.6,2133
"525",5,0.3,0.7,2048
"526",5,0.3,0.8,1964
"527",5,0.3,0.9,1881
"528",5,0.3,1,1799
"529",5,0.4,0,2668
"530",5,0.4,0.1,2546
"531",5,0.4,0.2,2426
"532",5,0.4,0.3,2308
"533",5,0.4,0.4,2192
"534",5,0.4,0.5,2078
"535",5,0.4,0.6,1967
"536",5,0.4,0.7,1857
"537",5,0.4,0.8,1750
"538",5,0.4,0.9,1645
"539",5,0.4,1,1542
"540",5,0.5,0,2668
"541",5,0.5,0.1,2515
"542",5,0.5,0.2,2367
"543",5,0.5,0.3,2221
"544",5,0.5,0.4,2080
"545",5,0.5,0.5,1941
"546",5,0.5,0.6,1806
"547",5,0.5,0.7,1675
"548",5,0.5,0.8,1547
"549",5,0.5,0.9,1422
"550",5,0.5,1,1301
"551",5,0.6,0,2668
"552",5,0.6,0.1,2486
"553",5,0.6,0.2,2309
"554",5,0.6,0.3,2137
"555",5,0.6,0.4,1970
"556",5,0.6,0.5,1808
"557",5,0.6,0.6,1651
"558",5,0.6,0.7,1500
"559",5,0.6,0.8,1353
"560",5,0.6,0.9,1211
"561",5,0.6,1,1075
"562",5,0.7,0,2668
"563",5,0.7,0.1,2456
"564",5,0.7,0.2,2251
"565",5,0.7,0.3,2053
"566",5,0.7,0.4,1862
"567",5,0.7,0.5,1679
"568",5,0.7,0.6,1502
"569",5,0.7,0.7,1332
"570",5,0.7,0.8,1169
"571",5,0.7,0.9,1013
"572",5,0.7,1,864
"573",5,0.8,0,2668
"574",5,0.8,0.1,2426
"575",5,0.8,0.2,2194
"576",5,0.8,0.3,1971
"577",5,0.8,0.4,1758
"578",5,0.8,0.5,1553
"579",5,0.8,0.6,1358
"580",5,0.8,0.7,1172
"581",5,0.8,0.8,995
"582",5,0.8,0.9,827
"583",5,0.8,1,667
"584",5,0.9,0,2668
"585",5,0.9,0.1,2397
"586",5,0.9,0.2,2138
"587",5,0.9,0.3,1891
"588",5,0.9,0.4,1655
"589",5,0.9,0.5,1432
"590",5,0.9,0.6,1220
"591",5,0.9,0.7,1019
"592",5,0.9,0.8,830
"593",5,0.9,0.9,652
"594",5,0.9,1,485
"595",5,1,0,2668
"596",5,1,0.1,2367
"597",5,1,0.2,2082
"598",5,1,0.3,1812
"599",5,1,0.4,1556
"600",5,1,0.5,1314
"601",5,1,0.6,1087
"602",5,1,0.7,874
"603",5,1,0.8,674
"604",5,1,0.9,488
"605",5,1,1,316
