,time,S_c1,C_c1,I_c1,VS_c1,VC_c1,S_h1,C_h1,I_h1,VS_h1,VC_h1,D_h1,CInc_1a,CInc_1b,CInc_1c,CInc_1d,col_adm,col_discharges,admissions,discharges,,,,,
33,32,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.812947,356802.38,5600.24439,5599.189549,4085.576245,61.35637386,198.0404529,1908.355473,1905.517046,0.076783589,0.056015092,,0.02915346,
34,33,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.8421,356807.2712,5600.321187,5599.266333,4085.63226,63.27376054,204.2292171,1967.991582,1965.064453,0.076783589,0.056015092,,0.02915346,
35,34,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.871254,356812.1625,5600.397983,5599.343116,4085.688275,65.19114722,210.4179812,2027.627691,2024.611861,0.076783589,0.056015092,,0.02915346,
36,35,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.900407,356817.0538,5600.47478,5599.4199,4085.74429,67.1085339,216.6067454,2087.263799,2084.159269,0.076783589,0.056015092,,0.02915346,
37,36,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.929561,356821.9451,5600.551577,5599.496684,4085.800306,69.02592059,222.7955095,2146.899908,2143.706676,0.076783589,0.056015092,,0.02915346,
38,37,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.958714,356826.8363,5600.628374,5599.573467,4085.856321,70.94330727,228.9842737,2206.536016,2203.254084,0.076783589,0.056015092,,0.02915346,
39,38,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2125.987868,356831.7276,5600.70517,5599.650251,4085.912336,72.86069395,235.1730378,2266.172125,2262.801492,0.076783589,0.056015092,,0.02915346,
40,39,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.017021,356836.6189,5600.781967,5599.727034,4085.968351,74.77808064,241.361802,2325.808233,2322.348899,0.076783589,0.056015092,,0.02915346,
41,40,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.046174,356841.5101,5600.858764,5599.803818,4086.024366,76.69546732,247.5505661,2385.444342,2381.896307,0.076783589,0.056015092,,0.02915346,
42,41,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.075328,356846.4014,5600.935561,5599.880602,4086.080381,78.612854,253.7393303,2445.08045,2441.443715,0.076783589,0.056015092,,0.02915346,
43,42,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.104481,356851.2927,5601.012357,5599.957385,4086.136396,80.53024069,259.9280944,2504.716559,2500.991123,0.076783589,0.056015092,,0.02915346,
44,43,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.133635,356856.184,5601.089154,5600.034169,4086.192411,82.44762737,266.1168586,2564.352668,2560.53853,0.076783589,0.056015092,,0.02915346,
45,44,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.162788,356861.0752,5601.165951,5600.110952,4086.248426,84.36501405,272.3056227,2623.988776,2620.085938,0.076783589,0.056015092,,0.02915346,
46,45,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.191942,356865.9665,5601.242748,5600.187736,4086.304441,86.28240073,278.4943869,2683.624885,2679.633346,0.076783589,0.056015092,,0.02915346,
47,46,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.221095,356870.8578,5601.319544,5600.26452,4086.360456,88.19978742,284.6831511,2743.260993,2739.180753,0.076783589,0.056015092,,0.02915346,
48,47,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.250249,356875.749,5601.396341,5600.341303,4086.416472,90.1171741,290.8719152,2802.897102,2798.728161,0.076783589,0.056015092,,0.02915346,
49,48,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.279402,356880.6403,5601.473138,5600.418087,4086.472487,92.03456078,297.0606794,2862.53321,2858.275569,0.076783589,0.056015092,,0.02915346,
50,49,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.308556,356885.5316,5601.549935,5600.49487,4086.528502,93.95194747,303.2494435,2922.169319,2917.822976,0.076783589,0.056015092,,0.02915346,
51,50,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.337709,356890.4229,5601.626731,5600.571654,4086.584517,95.86933415,309.4382077,2981.805427,2977.370384,0.076783589,0.056015092,,0.02915346,
52,51,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.366863,356895.3141,5601.703528,5600.648437,4086.640532,97.78672083,315.6269718,3041.441536,3036.917792,0.076783589,0.056015092,,0.02915346,
53,52,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.396016,356900.2054,5601.780325,5600.725221,4086.696547,99.70410752,321.815736,3101.077644,3096.465199,0.076783589,0.056015092,,0.02915346,
54,53,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.425169,356905.0967,5601.857121,5600.802005,4086.752562,101.6214942,328.0045001,3160.713753,3156.012607,0.076783589,0.056015092,,0.02915346,
55,54,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.454323,356909.988,5601.933918,5600.878788,4086.808577,103.5388809,334.1932643,3220.349862,3215.560015,0.076783589,0.056015092,,0.02915346,
56,55,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.483476,356914.8792,5602.010715,5600.955572,4086.864592,105.4562676,340.3820284,3279.98597,3275.107422,0.076783589,0.056015092,,0.02915346,
57,56,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.51263,356919.7705,5602.087512,5601.032355,4086.920607,107.3736542,346.5707926,3339.622079,3334.65483,0.076783589,0.056015092,,0.02915346,
58,57,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2126.541783,356924.6618,5602.164308,5601.109139,4086.976622,109.2910409,352.7595567,3399.258187,3394.202238,0.076783589,0.056015092,,0.02915346,
