"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"201",1,0.5,0.1,2668,2533
"202",2,0.5,0.1,5336,5055
"203",3,0.5,0.1,8004,7573
"204",4,0.5,0.1,10672,10089
"205",5,0.5,0.1,13340,12604
"206",1,0.5,0.2,2668,2398
"207",2,0.5,0.2,5336,4776
"208",3,0.5,0.2,8004,7146
"209",4,0.5,0.2,10672,9513
"210",5,0.5,0.2,13340,11880
"211",1,0.5,0.3,2668,2265
"212",2,0.5,0.3,5336,4501
"213",3,0.5,0.3,8004,6727
"214",4,0.5,0.3,10672,8948
"215",5,0.5,0.3,13340,11169
"216",1,0.5,0.4,2668,2132
"217",2,0.5,0.4,5336,4228
"218",3,0.5,0.4,8004,6311
"219",4,0.5,0.4,10672,8390
"220",5,0.5,0.4,13340,10470
"221",1,0.5,0.5,2668,2000
"222",2,0.5,0.5,5336,3957
"223",3,0.5,0.5,8004,5901
"224",4,0.5,0.5,10672,7840
"225",5,0.5,0.5,13340,9781
"226",1,0.5,0.6,2668,1868
"227",2,0.5,0.6,5336,3688
"228",3,0.5,0.6,8004,5494
"229",4,0.5,0.6,10672,7297
"230",5,0.5,0.6,13340,9103
"231",1,0.5,0.7,2668,1738
"232",2,0.5,0.7,5336,3423
"233",3,0.5,0.7,8004,5095
"234",4,0.5,0.7,10672,6765
"235",5,0.5,0.7,13340,8440
"236",1,0.5,0.8,2668,1608
"237",2,0.5,0.8,5336,3160
"238",3,0.5,0.8,8004,4699
"239",4,0.5,0.8,10672,6238
"240",5,0.5,0.8,13340,7785
"241",1,0.5,0.9,2668,1478
"242",2,0.5,0.9,5336,2898
"243",3,0.5,0.9,8004,4308
"244",4,0.5,0.9,10672,5720
"245",5,0.5,0.9,13340,7142
"246",1,0.5,1,2668,1350
"247",2,0.5,1,5336,2640
"248",3,0.5,1,8004,3922
"249",4,0.5,1,10672,5210
"250",5,0.5,1,13340,6511
"251",1,0.6,0.1,2668,2506
"252",2,0.6,0.1,5336,4999
"253",3,0.6,0.1,8004,7487
"254",4,0.6,0.1,10672,9973
"255",5,0.6,0.1,13340,12459
"256",1,0.6,0.2,2668,2345
"257",2,0.6,0.2,5336,4666
"258",3,0.6,0.2,8004,6978
"259",4,0.6,0.2,10672,9287
"260",5,0.6,0.2,13340,11596
"261",1,0.6,0.3,2668,2185
"262",2,0.6,0.3,5336,4337
"263",3,0.6,0.3,8004,6478
"264",4,0.6,0.3,10672,8614
"265",5,0.6,0.3,13340,10751
"266",1,0.6,0.4,2668,2027
"267",2,0.6,0.4,5336,4013
"268",3,0.6,0.4,8004,5985
"269",4,0.6,0.4,10672,7953
"270",5,0.6,0.4,13340,9923
"271",1,0.6,0.5,2668,1869
"272",2,0.6,0.5,5336,3691
"273",3,0.6,0.5,8004,5499
"274",4,0.6,0.5,10672,7304
"275",5,0.6,0.5,13340,9112
"276",1,0.6,0.6,2668,1713
"277",2,0.6,0.6,5336,3373
"278",3,0.6,0.6,8004,5020
"279",4,0.6,0.6,10672,6666
"280",5,0.6,0.6,13340,8317
"281",1,0.6,0.7,2668,1557
"282",2,0.6,0.7,5336,3059
"283",3,0.6,0.7,8004,4549
"284",4,0.6,0.7,10672,6040
"285",5,0.6,0.7,13340,7540
"286",1,0.6,0.8,2668,1403
"287",2,0.6,0.8,5336,2748
"288",3,0.6,0.8,8004,4085
"289",4,0.6,0.8,10672,5426
"290",5,0.6,0.8,13340,6779
"291",1,0.6,0.9,2668,1250
"292",2,0.6,0.9,5336,2442
"293",3,0.6,0.9,8004,3630
"294",4,0.6,0.9,10672,4826
"295",5,0.6,0.9,13340,6037
"296",1,0.6,1,2668,1098
"297",2,0.6,1,5336,2139
"298",3,0.6,1,8004,3181
"299",4,0.6,1,10672,4236
"300",5,0.6,1,13340,5311
"301",1,0.7,0.1,2668,2479
"302",2,0.7,0.1,5336,4943
"303",3,0.7,0.1,8004,7402
"304",4,0.7,0.1,10672,9858
"305",5,0.7,0.1,13340,12314
"306",1,0.7,0.2,2668,2292
"307",2,0.7,0.2,5336,4557
"308",3,0.7,0.2,8004,6812
"309",4,0.7,0.2,10672,9063
"310",5,0.7,0.2,13340,11314
"311",1,0.7,0.3,2668,2106
"312",2,0.7,0.3,5336,4175
"313",3,0.7,0.3,8004,6232
"314",4,0.7,0.3,10672,8284
"315",5,0.7,0.3,13340,10337
"316",1,0.7,0.4,2668,1922
"317",2,0.7,0.4,5336,3799
"318",3,0.7,0.4,8004,5662
"319",4,0.7,0.4,10672,7522
"320",5,0.7,0.4,13340,9384
"321",1,0.7,0.5,2668,1739
"322",2,0.7,0.5,5336,3427
"323",3,0.7,0.5,8004,5102
"324",4,0.7,0.5,10672,6776
"325",5,0.7,0.5,13340,8455
"326",1,0.7,0.6,2668,1558
"327",2,0.7,0.6,5336,3061
"328",3,0.7,0.6,8004,4554
"329",4,0.7,0.6,10672,6048
"330",5,0.7,0.6,13340,7550
"331",1,0.7,0.7,2668,1379
"332",2,0.7,0.7,5336,2701
"333",3,0.7,0.7,8004,4016
"334",4,0.7,0.7,10672,5336
"335",5,0.7,0.7,13340,6668
"336",1,0.7,0.8,2668,1201
"337",2,0.7,0.8,5336,2345
"338",3,0.7,0.8,8004,3487
"339",4,0.7,0.8,10672,4639
"340",5,0.7,0.8,13340,5808
"341",1,0.7,0.9,2668,1025
"342",2,0.7,0.9,5336,1995
"343",3,0.7,0.9,8004,2970
"344",4,0.7,0.9,10672,3961
"345",5,0.7,0.9,13340,4974
"346",1,0.7,1,2668,850
"347",2,0.7,1,5336,1650
"348",3,0.7,1,8004,2462
"349",4,0.7,1,10672,3298
"350",5,0.7,1,13340,4162
"351",1,0.8,0.1,2668,2452
"352",2,0.8,0.1,5336,4888
"353",3,0.8,0.1,8004,7317
"354",4,0.8,0.1,10672,9743
"355",5,0.8,0.1,13340,12169
"356",1,0.8,0.2,2668,2239
"357",2,0.8,0.2,5336,4448
"358",3,0.8,0.2,8004,6646
"359",4,0.8,0.2,10672,8840
"360",5,0.8,0.2,13340,11034
"361",1,0.8,0.3,2668,2027
"362",2,0.8,0.3,5336,4014
"363",3,0.8,0.3,8004,5988
"364",4,0.8,0.3,10672,7958
"365",5,0.8,0.3,13340,9929
"366",1,0.8,0.4,2668,1818
"367",2,0.8,0.4,5336,3588
"368",3,0.8,0.4,8004,5344
"369",4,0.8,0.4,10672,7098
"370",5,0.8,0.4,13340,8856
"371",1,0.8,0.5,2668,1611
"372",2,0.8,0.5,5336,3168
"373",3,0.8,0.5,8004,4714
"374",4,0.8,0.5,10672,6260
"375",5,0.8,0.5,13340,7813
"376",1,0.8,0.6,2668,1406
"377",2,0.8,0.6,5336,2756
"378",3,0.8,0.6,8004,4098
"379",4,0.8,0.6,10672,5445
"380",5,0.8,0.6,13340,6803
"381",1,0.8,0.7,2668,1203
"382",2,0.8,0.7,5336,2350
"383",3,0.8,0.7,8004,3495
"384",4,0.8,0.7,10672,4650
"385",5,0.8,0.7,13340,5822
"386",1,0.8,0.8,2668,1001
"387",2,0.8,0.8,5336,1950
"388",3,0.8,0.8,8004,2905
"389",4,0.8,0.8,10672,3877
"390",5,0.8,0.8,13340,4872
"391",1,0.8,0.9,2668,803
"392",2,0.8,0.9,5336,1559
"393",3,0.8,0.9,8004,2330
"394",4,0.8,0.9,10672,3127
"395",5,0.8,0.9,13340,3954
"396",1,0.8,1,2668,606
"397",2,0.8,1,5336,1173
"398",3,0.8,1,8004,1767
"399",4,0.8,1,10672,2397
"400",5,0.8,1,13340,3064
"401",1,0.9,0.1,2668,2425
"402",2,0.9,0.1,5336,4832
"403",3,0.9,0.1,8004,7232
"404",4,0.9,0.1,10672,9629
"405",5,0.9,0.1,13340,12026
"406",1,0.9,0.2,2668,2186
"407",2,0.9,0.2,5336,4339
"408",3,0.9,0.2,8004,6481
"409",4,0.9,0.2,10672,8618
"410",5,0.9,0.2,13340,10756
"411",1,0.9,0.3,2668,1949
"412",2,0.9,0.3,5336,3854
"413",3,0.9,0.3,8004,5746
"414",4,0.9,0.3,10672,7634
"415",5,0.9,0.3,13340,9525
"416",1,0.9,0.4,2668,1715
"417",2,0.9,0.4,5336,3379
"418",3,0.9,0.4,8004,5030
"419",4,0.9,0.4,10672,6680
"420",5,0.9,0.4,13340,8335
"421",1,0.9,0.5,2668,1483
"422",2,0.9,0.5,5336,2911
"423",3,0.9,0.5,8004,4330
"424",4,0.9,0.5,10672,5752
"425",5,0.9,0.5,13340,7184
"426",1,0.9,0.6,2668,1254
"427",2,0.9,0.6,5336,2453
"428",3,0.9,0.6,8004,3649
"429",4,0.9,0.6,10672,4853
"430",5,0.9,0.6,13340,6073
"431",1,0.9,0.7,2668,1028
"432",2,0.9,0.7,5336,2004
"433",3,0.9,0.7,8004,2985
"434",4,0.9,0.7,10672,3982
"435",5,0.9,0.7,13340,5001
"436",1,0.9,0.8,2668,804
"437",2,0.9,0.8,5336,1563
"438",3,0.9,0.8,8004,2338
"439",4,0.9,0.8,10672,3138
"440",5,0.9,0.8,13340,3968
"441",1,0.9,0.9,2668,583
"442",2,0.9,0.9,5336,1131
"443",3,0.9,0.9,8004,1708
"444",4,0.9,0.9,10672,2322
"445",5,0.9,0.9,13340,2974
"446",1,0.9,1,2668,365
"447",2,0.9,1,5336,708
