"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"260",5,0.6,0.2,373830,335264
"261",1,0.6,0.3,74766,62243
"262",2,0.6,0.3,149532,124737
"263",3,0.6,0.3,224298,187824
"264",4,0.6,0.3,299064,251518
"265",5,0.6,0.3,373830,315799
"266",1,0.6,0.4,74766,58046
"267",2,0.6,0.4,149532,116408
"268",3,0.6,0.4,224298,175549
"269",4,0.6,0.4,299064,235491
"270",5,0.6,0.4,373830,296208
"271",1,0.6,0.5,74766,53838
"272",2,0.6,0.5,149532,108046
"273",3,0.6,0.5,224298,163214
"274",4,0.6,0.5,299064,219373
"275",5,0.6,0.5,373830,276493
"276",1,0.6,0.6,74766,49619
"277",2,0.6,0.6,149532,99652
"278",3,0.6,0.6,224298,150820
"279",4,0.6,0.6,299064,203164
"280",5,0.6,0.6,373830,256651
"281",1,0.6,0.7,74766,45388
"282",2,0.6,0.7,149532,91226
"283",3,0.6,0.7,224298,138367
"284",4,0.6,0.7,299064,186865
"285",5,0.6,0.7,373830,236684
"286",1,0.6,0.8,74766,41146
"287",2,0.6,0.8,149532,82766
"288",3,0.6,0.8,224298,125853
"289",4,0.6,0.8,299064,170473
"290",5,0.6,0.8,373830,216588
"291",1,0.6,0.9,74766,36892
"292",2,0.6,0.9,149532,74274
"293",3,0.6,0.9,224298,113279
"294",4,0.6,0.9,299064,153989
"295",5,0.6,0.9,373830,196365
"296",1,0.6,1,74766,32627
"297",2,0.6,1,149532,65748
"298",3,0.6,1,224298,100644
"299",4,0.6,1,299064,137412
"300",5,0.6,1,373830,176012
"301",1,0.7,0.1,74766,69909
"302",2,0.7,0.1,149532,139927
"303",3,0.7,0.1,224298,210182
"304",4,0.7,0.1,299064,280677
"305",5,0.7,0.1,373830,351405
"306",1,0.7,0.2,74766,65039
"307",2,0.7,0.2,149532,130285
"308",3,0.7,0.2,224298,195998
"309",4,0.7,0.2,299064,262188
"310",5,0.7,0.2,373830,328838
"311",1,0.7,0.3,74766,60156
"312",2,0.7,0.3,149532,120605
"313",3,0.7,0.3,224298,181746
"314",4,0.7,0.3,299064,243595
"315",5,0.7,0.3,373830,306129
"316",1,0.7,0.4,74766,55260
"317",2,0.7,0.4,149532,110889
"318",3,0.7,0.4,224298,167427
"319",4,0.7,0.4,299064,224900
"320",5,0.7,0.4,373830,283277
"321",1,0.7,0.5,74766,50351
"322",2,0.7,0.5,149532,101135
"323",3,0.7,0.5,224298,153039
"324",4,0.7,0.5,299064,206099
"325",5,0.7,0.5,373830,260280
"326",1,0.7,0.6,74766,45429
"327",2,0.7,0.6,149532,91344
"328",3,0.7,0.6,224298,138583
"329",4,0.7,0.6,299064,187194
"330",5,0.7,0.6,373830,237138
"331",1,0.7,0.7,74766,40493
"332",2,0.7,0.7,149532,81514
"333",3,0.7,0.7,224298,124057
"334",4,0.7,0.7,299064,168182
"335",5,0.7,0.7,373830,213848
"336",1,0.7,0.8,74766,35544
"337",2,0.7,0.8,149532,71646
"338",3,0.7,0.8,224298,109461
"339",4,0.7,0.8,299064,149064
"340",5,0.7,0.8,373830,190410
"341",1,0.7,0.9,74766,30582
"342",2,0.7,0.9,149532,61741
"343",3,0.7,0.9,224298,94796
"344",4,0.7,0.9,299064,129839
"345",5,0.7,0.9,373830,166824
"346",1,0.7,1,74766,25606
"347",2,0.7,1,149532,51797
"348",3,0.7,1,224298,80060
"349",4,0.7,1,299064,110507
"350",5,0.7,1,373830,143089
"351",1,0.8,0.1,74766,69215
"352",2,0.8,0.1,149532,138554
"353",3,0.8,0.1,224298,208164
"354",4,0.8,0.1,299064,278049
"355",5,0.8,0.1,373830,348200
"356",1,0.8,0.2,74766,63650
"357",2,0.8,0.2,149532,127536
"358",3,0.8,0.2,224298,191956
"359",4,0.8,0.2,299064,256921
"360",5,0.8,0.2,373830,322412
"361",1,0.8,0.3,74766,58069
"362",2,0.8,0.3,149532,116474
"363",3,0.8,0.3,224298,175670
"364",4,0.8,0.3,299064,235675
"365",5,0.8,0.3,373830,296462
"366",1,0.8,0.4,74766,52474
"367",2,0.8,0.4,149532,105371
"368",3,0.8,0.4,224298,159307
"369",4,0.8,0.4,299064,214311
"370",5,0.8,0.4,373830,270349
"371",1,0.8,0.5,74766,46864
"372",2,0.8,0.5,149532,94225
"373",3,0.8,0.5,224298,142866
"374",4,0.8,0.5,299064,192828
"375",5,0.8,0.5,373830,244071
"376",1,0.8,0.6,74766,41239
"377",2,0.8,0.6,149532,83036
"378",3,0.8,0.6,224298,126347
"379",4,0.8,0.6,299064,171226
"380",5,0.8,0.6,373830,217628
"381",1,0.8,0.7,74766,35598
"382",2,0.8,0.7,149532,71804
"383",3,0.8,0.7,224298,109750
"384",4,0.8,0.7,299064,149504
"385",5,0.8,0.7,373830,191018
"386",1,0.8,0.8,74766,29943
"387",2,0.8,0.8,149532,60529
"388",3,0.8,0.8,224298,93073
"389",4,0.8,0.8,299064,127661
"390",5,0.8,0.8,373830,164240
"391",1,0.8,0.9,74766,24272
"392",2,0.8,0.9,149532,49211
"393",3,0.8,0.9,224298,76318
"394",4,0.8,0.9,299064,105697
"395",5,0.8,0.9,373830,137295
"396",1,0.8,1,74766,18587
"397",2,0.8,1,149532,37851
"398",3,0.8,1,224298,59485
"399",4,0.8,1,299064,83614
"400",5,0.8,1,373830,110182
"401",1,0.9,0.1,74766,68521
"402",2,0.9,0.1,149532,137182
"403",3,0.9,0.1,224298,206148
"404",4,0.9,0.1,299064,275424
"405",5,0.9,0.1,373830,344998
"406",1,0.9,0.2,74766,62260
"407",2,0.9,0.2,149532,124786
"408",3,0.9,0.2,224298,187914
"409",4,0.9,0.2,299064,251655
"410",5,0.9,0.2,373830,315988
"411",1,0.9,0.3,74766,55983
"412",2,0.9,0.3,149532,112344
"413",3,0.9,0.3,224298,169595
"414",4,0.9,0.3,299064,227756
"415",5,0.9,0.3,373830,286797
"416",1,0.9,0.4,74766,49688
"417",2,0.9,0.4,149532,99853
"418",3,0.9,0.4,224298,151188
"419",4,0.9,0.4,299064,203724
"420",5,0.9,0.4,373830,257423
"421",1,0.9,0.5,74766,43377
"422",2,0.9,0.5,149532,87315
"423",3,0.9,0.5,224298,132694
"424",4,0.9,0.5,299064,179559
"425",5,0.9,0.5,373830,227864
"426",1,0.9,0.6,74766,37049
"427",2,0.9,0.6,149532,74729
"428",3,0.9,0.6,224298,114113
"429",4,0.9,0.6,299064,155261
"430",5,0.9,0.6,373830,198121
"431",1,0.9,0.7,74766,30704
"432",2,0.9,0.7,149532,62096
"433",3,0.9,0.7,224298,95446
"434",4,0.9,0.7,299064,130831
"435",5,0.9,0.7,373830,168195
"436",1,0.9,0.8,74766,24342
"437",2,0.9,0.8,149532,49414
"438",3,0.9,0.8,224298,76690
"439",4,0.9,0.8,299064,106265
"440",5,0.9,0.8,373830,138080
"441",1,0.9,0.9,74766,17964
"442",2,0.9,0.9,149532,36686
"443",3,0.9,0.9,224298,57848
"444",4,0.9,0.9,299064,81566
"445",5,0.9,0.9,373830,107779
"446",1,0.9,1,74766,11569
"447",2,0.9,1,149532,23910
"448",3,0.9,1,224298,38918
"449",4,0.9,1,299064,56733
"450",5,0.9,1,373830,77291
"451",1,1,0.1,74766,67828
"452",2,1,0.1,149532,135811
"453",3,1,0.1,224298,204133
"454",4,1,0.1,299064,272799
"455",5,1,0.1,373830,341796
"456",1,1,0.2,74766,60871
"457",2,1,0.2,149532,122038
"458",3,1,0.2,224298,183873
"459",4,1,0.2,299064,246389
"460",5,1,0.2,373830,309563
