"","num_vacc_per_case","scenario"
"227",846,"Scenario 6 (small hospital population size)"
"228",846,"Scenario 6 (small hospital population size)"
"229",846,"Scenario 6 (small hospital population size)"
"230",846,"Scenario 6 (small hospital population size)"
"231",7423,"Scenario 6 (small hospital population size)"
"232",7423,"Scenario 6 (small hospital population size)"
"233",7423,"Scenario 6 (small hospital population size)"
"234",7423,"Scenario 6 (small hospital population size)"
"235",7423,"Scenario 6 (small hospital population size)"
"236",3771,"Scenario 6 (small hospital population size)"
"237",3771,"Scenario 6 (small hospital population size)"
"238",3771,"Scenario 6 (small hospital population size)"
"239",3771,"Scenario 6 (small hospital population size)"
"240",3771,"Scenario 6 (small hospital population size)"
"241",2554,"Scenario 6 (small hospital population size)"
"242",2554,"Scenario 6 (small hospital population size)"
"243",2554,"Scenario 6 (small hospital population size)"
"244",2554,"Scenario 6 (small hospital population size)"
"245",2554,"Scenario 6 (small hospital population size)"
"246",1947,"Scenario 6 (small hospital population size)"
"247",1947,"Scenario 6 (small hospital population size)"
"248",1947,"Scenario 6 (small hospital population size)"
"249",1947,"Scenario 6 (small hospital population size)"
"250",1947,"Scenario 6 (small hospital population size)"
"251",1584,"Scenario 6 (small hospital population size)"
"252",1584,"Scenario 6 (small hospital population size)"
"253",1584,"Scenario 6 (small hospital population size)"
"254",1584,"Scenario 6 (small hospital population size)"
"255",1584,"Scenario 6 (small hospital population size)"
"256",1342,"Scenario 6 (small hospital population size)"
"257",1342,"Scenario 6 (small hospital population size)"
"258",1342,"Scenario 6 (small hospital population size)"
"259",1342,"Scenario 6 (small hospital population size)"
"260",1342,"Scenario 6 (small hospital population size)"
"261",1170,"Scenario 6 (small hospital population size)"
"262",1170,"Scenario 6 (small hospital population size)"
"263",1170,"Scenario 6 (small hospital population size)"
"264",1170,"Scenario 6 (small hospital population size)"
"265",1170,"Scenario 6 (small hospital population size)"
"266",1042,"Scenario 6 (small hospital population size)"
"267",1042,"Scenario 6 (small hospital population size)"
"268",1042,"Scenario 6 (small hospital population size)"
"269",1042,"Scenario 6 (small hospital population size)"
"270",1042,"Scenario 6 (small hospital population size)"
"271",943,"Scenario 6 (small hospital population size)"
"272",943,"Scenario 6 (small hospital population size)"
"273",943,"Scenario 6 (small hospital population size)"
"274",943,"Scenario 6 (small hospital population size)"
"275",943,"Scenario 6 (small hospital population size)"
"276",864,"Scenario 6 (small hospital population size)"
"277",864,"Scenario 6 (small hospital population size)"
"278",864,"Scenario 6 (small hospital population size)"
"279",864,"Scenario 6 (small hospital population size)"
"280",864,"Scenario 6 (small hospital population size)"
"281",7432,"Scenario 6 (small hospital population size)"
"282",7432,"Scenario 6 (small hospital population size)"
"283",7432,"Scenario 6 (small hospital population size)"
"284",7432,"Scenario 6 (small hospital population size)"
"285",7432,"Scenario 6 (small hospital population size)"
"286",3785,"Scenario 6 (small hospital population size)"
"287",3785,"Scenario 6 (small hospital population size)"
"288",3785,"Scenario 6 (small hospital population size)"
"289",3785,"Scenario 6 (small hospital population size)"
"290",3785,"Scenario 6 (small hospital population size)"
"291",2570,"Scenario 6 (small hospital population size)"
"292",2570,"Scenario 6 (small hospital population size)"
"293",2570,"Scenario 6 (small hospital population size)"
"294",2570,"Scenario 6 (small hospital population size)"
"295",2570,"Scenario 6 (small hospital population size)"
"296",1963,"Scenario 6 (small hospital population size)"
"297",1963,"Scenario 6 (small hospital population size)"
