"","year","vacc_coverage","vacc_efficacy","total_cases"
"297",3,0.4,1,1499
"298",3,0.5,0,2625
"299",3,0.5,0.1,2476
"300",3,0.5,0.2,2329
"301",3,0.5,0.3,2185
"302",3,0.5,0.4,2043
"303",3,0.5,0.5,1904
"304",3,0.5,0.6,1768
"305",3,0.5,0.7,1634
"306",3,0.5,0.8,1503
"307",3,0.5,0.9,1375
"308",3,0.5,1,1249
"309",3,0.6,0,2625
"310",3,0.6,0.1,2446
"311",3,0.6,0.2,2271
"312",3,0.6,0.3,2100
"313",3,0.6,0.4,1933
"314",3,0.6,0.5,1769
"315",3,0.6,0.6,1610
"316",3,0.6,0.7,1454
"317",3,0.6,0.8,1303
"318",3,0.6,0.9,1155
"319",3,0.6,1,1011
"320",3,0.7,0,2625
"321",3,0.7,0.1,2417
"322",3,0.7,0.2,2214
"323",3,0.7,0.3,2016
"324",3,0.7,0.4,1824
"325",3,0.7,0.5,1638
"326",3,0.7,0.6,1456
"327",3,0.7,0.7,1281
"328",3,0.7,0.8,1110
"329",3,0.7,0.9,945
"330",3,0.7,1,786
"331",3,0.8,0,2625
"332",3,0.8,0.1,2387
"333",3,0.8,0.2,2157
"334",3,0.8,0.3,1934
"335",3,0.8,0.4,1718
"336",3,0.8,0.5,1509
"337",3,0.8,0.6,1307
"338",3,0.8,0.7,1113
"339",3,0.8,0.8,926
"340",3,0.8,0.9,745
"341",3,0.8,1,572
"342",3,0.9,0,2625
"343",3,0.9,0.1,2358
"344",3,0.9,0.2,2101
"345",3,0.9,0.3,1853
"346",3,0.9,0.4,1614
"347",3,0.9,0.5,1384
"348",3,0.9,0.6,1163
"349",3,0.9,0.7,951
"350",3,0.9,0.8,749
"351",3,0.9,0.9,555
"352",3,0.9,1,371
"353",3,1,0,2625
"354",3,1,0.1,2329
"355",3,1,0.2,2045
"356",3,1,0.3,1773
"357",3,1,0.4,1511
"358",3,1,0.5,1261
"359",3,1,0.6,1023
"360",3,1,0.7,795
"361",3,1,0.8,579
"362",3,1,0.9,375
"363",3,1,1,181
"364",4,0,0,2625
"365",4,0,0.1,2625
"366",4,0,0.2,2625
"367",4,0,0.3,2625
"368",4,0,0.4,2625
"369",4,0,0.5,2625
"370",4,0,0.6,2625
"371",4,0,0.7,2625
"372",4,0,0.8,2625
"373",4,0,0.9,2625
"374",4,0,1,2625
"375",4,0.1,0,2625
"376",4,0.1,0.1,2595
"377",4,0.1,0.2,2564
"378",4,0.1,0.3,2534
"379",4,0.1,0.4,2504
"380",4,0.1,0.5,2473
"381",4,0.1,0.6,2443
"382",4,0.1,0.7,2413
"383",4,0.1,0.8,2383
"384",4,0.1,0.9,2352
"385",4,0.1,1,2322
"386",4,0.2,0,2625
"387",4,0.2,0.1,2564
"388",4,0.2,0.2,2504
"389",4,0.2,0.3,2444
"390",4,0.2,0.4,2385
"391",4,0.2,0.5,2325
"392",4,0.2,0.6,2266
"393",4,0.2,0.7,2208
"394",4,0.2,0.8,2150
"395",4,0.2,0.9,2092
"396",4,0.2,1,2034
"397",4,0.3,0,2625
"398",4,0.3,0.1,2534
"399",4,0.3,0.2,2445
"400",4,0.3,0.3,2356
"401",4,0.3,0.4,2268
"402",4,0.3,0.5,2181
"403",4,0.3,0.6,2095
"404",4,0.3,0.7,2010
"405",4,0.3,0.8,1926
"406",4,0.3,0.9,1843
"407",4,0.3,1,1761
"408",4,0.4,0,2625
"409",4,0.4,0.1,2504
"410",4,0.4,0.2,2386
"411",4,0.4,0.3,2269
"412",4,0.4,0.4,2154
"413",4,0.4,0.5,2040
"414",4,0.4,0.6,1929
"415",4,0.4,0.7,1819
"416",4,0.4,0.8,1712
"417",4,0.4,0.9,1606
"418",4,0.4,1,1502
"419",4,0.5,0,2625
"420",4,0.5,0.1,2475
"421",4,0.5,0.2,2327
"422",4,0.5,0.3,2183
"423",4,0.5,0.4,2041
"424",4,0.5,0.5,1903
"425",4,0.5,0.6,1768
"426",4,0.5,0.7,1636
"427",4,0.5,0.8,1507
"428",4,0.5,0.9,1381
"429",4,0.5,1,1258
"430",4,0.6,0,2625
"431",4,0.6,0.1,2445
"432",4,0.6,0.2,2269
"433",4,0.6,0.3,2098
"434",4,0.6,0.4,1932
"435",4,0.6,0.5,1770
"436",4,0.6,0.6,1612
"437",4,0.6,0.7,1459
"438",4,0.6,0.8,1311
"439",4,0.6,0.9,1167
"440",4,0.6,1,1028
"441",4,0.7,0,2625
"442",4,0.7,0.1,2415
"443",4,0.7,0.2,2212
"444",4,0.7,0.3,2015
"445",4,0.7,0.4,1824
"446",4,0.7,0.5,1640
"447",4,0.7,0.6,1461
"448",4,0.7,0.7,1289
"449",4,0.7,0.8,1124
"450",4,0.7,0.9,965
"451",4,0.7,1,812
"452",4,0.8,0,2625
"453",4,0.8,0.1,2386
"454",4,0.8,0.2,2155
"455",4,0.8,0.3,1933
"456",4,0.8,0.4,1719
"457",4,0.8,0.5,1513
"458",4,0.8,0.6,1316
"459",4,0.8,0.7,1127
"460",4,0.8,0.8,946
"461",4,0.8,0.9,773
"462",4,0.8,1,609
"463",4,0.9,0,2625
"464",4,0.9,0.1,2357
"465",4,0.9,0.2,2099
"466",4,0.9,0.3,1852
"467",4,0.9,0.4,1616
"468",4,0.9,0.5,1390
"469",4,0.9,0.6,1175
"470",4,0.9,0.7,971
"471",4,0.9,0.8,777
"472",4,0.9,0.9,593
"473",4,0.9,1,420
"474",4,1,0,2625
"475",4,1,0.1,2328
"476",4,1,0.2,2044
"477",4,1,0.3,1773
"478",4,1,0.4,1515
"479",4,1,0.5,1271
"480",4,1,0.6,1039
"481",4,1,0.7,821
"482",4,1,0.8,616
"483",4,1,0.9,424
"484",4,1,1,245
"485",5,0,0,2625
"486",5,0,0.1,2625
"487",5,0,0.2,2625
"488",5,0,0.3,2625
"489",5,0,0.4,2625
"490",5,0,0.5,2625
"491",5,0,0.6,2625
"492",5,0,0.7,2625
"493",5,0,0.8,2625
"494",5,0,0.9,2625
"495",5,0,1,2625
"496",5,0.1,0,2625
"497",5,0.1,0.1,2595
"498",5,0.1,0.2,2565
"499",5,0.1,0.3,2534
"500",5,0.1,0.4,2504
"501",5,0.1,0.5,2474
"502",5,0.1,0.6,2444
"503",5,0.1,0.7,2414
"504",5,0.1,0.8,2384
"505",5,0.1,0.9,2354
"506",5,0.1,1,2324
"507",5,0.2,0,2625
"508",5,0.2,0.1,2565
"509",5,0.2,0.2,2505
"510",5,0.2,0.3,2445
"511",5,0.2,0.4,2386
"512",5,0.2,0.5,2327
"513",5,0.2,0.6,2269
"514",5,0.2,0.7,2211
"515",5,0.2,0.8,2153
"516",5,0.2,0.9,2096
"517",5,0.2,1,2039
"518",5,0.3,0,2625
"519",5,0.3,0.1,2535
"520",5,0.3,0.2,2446
"521",5,0.3,0.3,2358
"522",5,0.3,0.4,2270
"523",5,0.3,0.5,2184
"524",5,0.3,0.6,2099
"525",5,0.3,0.7,2015
"526",5,0.3,0.8,1932
"527",5,0.3,0.9,1850
"528",5,0.3,1,1770
"529",5,0.4,0,2625
"530",5,0.4,0.1,2505
"531",5,0.4,0.2,2387
"532",5,0.4,0.3,2271
"533",5,0.4,0.4,2157
"534",5,0.4,0.5,2045
"535",5,0.4,0.6,1935
"536",5,0.4,0.7,1827
"537",5,0.4,0.8,1721
"538",5,0.4,0.9,1617
"539",5,0.4,1,1515
"540",5,0.5,0,2625
"541",5,0.5,0.1,2475
"542",5,0.5,0.2,2329
"543",5,0.5,0.3,2186
"544",5,0.5,0.4,2046
"545",5,0.5,0.5,1910
"546",5,0.5,0.6,1776
"547",5,0.5,0.7,1646
"548",5,0.5,0.8,1520
"549",5,0.5,0.9,1396
"550",5,0.5,1,1277
"551",5,0.6,0,2625
"552",5,0.6,0.1,2446
"553",5,0.6,0.2,2272
"554",5,0.6,0.3,2103
"555",5,0.6,0.4,1938
"556",5,0.6,0.5,1778
"557",5,0.6,0.6,1623
"558",5,0.6,0.7,1473
"559",5,0.6,0.8,1328
"560",5,0.6,0.9,1188
"561",5,0.6,1,1053
"562",5,0.7,0,2625
"563",5,0.7,0.1,2417
"564",5,0.7,0.2,2215
"565",5,0.7,0.3,2020
"566",5,0.7,0.4,1832
"567",5,0.7,0.5,1650
"568",5,0.7,0.6,1475
"569",5,0.7,0.7,1307
"570",5,0.7,0.8,1146
"571",5,0.7,0.9,992
"572",5,0.7,1,844
"573",5,0.8,0,2625
"574",5,0.8,0.1,2388
"575",5,0.8,0.2,2159
"576",5,0.8,0.3,1939
"577",5,0.8,0.4,1728
"578",5,0.8,0.5,1526
"579",5,0.8,0.6,1333
"580",5,0.8,0.7,1149
"581",5,0.8,0.8,974
"582",5,0.8,0.9,807
"583",5,0.8,1,650
"584",5,0.9,0,2625
"585",5,0.9,0.1,2359
"586",5,0.9,0.2,2104
"587",5,0.9,0.3,1860
"588",5,0.9,0.4,1627
"589",5,0.9,0.5,1406
"590",5,0.9,0.6,1196
"591",5,0.9,0.7,998
"592",5,0.9,0.8,811
"593",5,0.9,0.9,635
"594",5,0.9,1,470
"595",5,1,0,2625
"596",5,1,0.1,2330
"597",5,1,0.2,2049
"598",5,1,0.3,1782
"599",5,1,0.4,1528
"600",5,1,0.5,1289
"601",5,1,0.6,1064
"602",5,1,0.7,854
"603",5,1,0.8,657
"604",5,1,0.9,474
"605",5,1,1,305
