"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"221",1,0.5,0.5,27839,21218
"222",2,0.5,0.5,55678,42550
"223",3,0.5,0.5,83517,64168
"224",4,0.5,0.5,111356,86084
"225",5,0.5,0.5,139195,108292
"226",1,0.5,0.6,27839,19886
"227",2,0.5,0.6,55678,39903
"228",3,0.5,0.6,83517,60260
"229",4,0.5,0.6,111356,80973
"230",5,0.5,0.6,139195,102036
"231",1,0.5,0.7,27839,18551
"232",2,0.5,0.7,55678,37248
"233",3,0.5,0.7,83517,56338
"234",4,0.5,0.7,111356,75843
"235",5,0.5,0.7,139195,95754
"236",1,0.5,0.8,27839,17214
"237",2,0.5,0.8,55678,34586
"238",3,0.5,0.8,83517,52405
"239",4,0.5,0.8,111356,70695
"240",5,0.5,0.8,139195,89448
"241",1,0.5,0.9,27839,15874
"242",2,0.5,0.9,55678,31917
"243",3,0.5,0.9,83517,48458
"244",4,0.5,0.9,111356,65527
"245",5,0.5,0.9,139195,83115
"246",1,0.5,1,27839,14532
"247",2,0.5,1,55678,29242
"248",3,0.5,1,83517,44500
"249",4,0.5,1,111356,60342
"250",5,0.5,1,139195,76759
"251",1,0.6,0.1,27839,26256
"252",2,0.6,0.1,55678,52544
"253",3,0.6,0.1,83517,78903
"254",4,0.6,0.1,111356,105335
"255",5,0.6,0.1,139195,131838
"256",1,0.6,0.2,27839,24670
"257",2,0.6,0.2,55678,49402
"258",3,0.6,0.2,83517,74275
"259",4,0.6,0.2,111356,99293
"260",5,0.6,0.2,139195,124452
"261",1,0.6,0.3,27839,23081
"262",2,0.6,0.3,55678,46252
"263",3,0.6,0.3,83517,69632
"264",4,0.6,0.3,111356,93229
"265",5,0.6,0.3,139195,117037
"266",1,0.6,0.4,27839,21489
"267",2,0.6,0.4,55678,43093
"268",3,0.6,0.4,83517,64973
"269",4,0.6,0.4,111356,87141
"270",5,0.6,0.4,139195,109590
"271",1,0.6,0.5,27839,19894
"272",2,0.6,0.5,55678,39926
"273",3,0.6,0.5,83517,60300
"274",4,0.6,0.5,111356,81033
"275",5,0.6,0.5,139195,102116
"276",1,0.6,0.6,27839,18296
"277",2,0.6,0.6,55678,36750
"278",3,0.6,0.6,83517,55612
"279",4,0.6,0.6,111356,74902
"280",5,0.6,0.6,139195,94611
"281",1,0.6,0.7,27839,16695
"282",2,0.6,0.7,55678,33566
"283",3,0.6,0.7,83517,50909
"284",4,0.6,0.7,111356,68749
"285",5,0.6,0.7,139195,87077
"286",1,0.6,0.8,27839,15091
"287",2,0.6,0.8,55678,30373
"288",3,0.6,0.8,83517,46191
"289",4,0.6,0.8,111356,62574
"290",5,0.6,0.8,139195,79512
"291",1,0.6,0.9,27839,13484
"292",2,0.6,0.9,55678,27172
"293",3,0.6,0.9,83517,41458
"294",4,0.6,0.9,111356,56377
"295",5,0.6,0.9,139195,71919
"296",1,0.6,1,27839,11874
"297",2,0.6,1,55678,23963
"298",3,0.6,1,83517,36710
"299",4,0.6,1,111356,50157
"300",5,0.6,1,139195,64294
"301",1,0.7,0.1,27839,25992
"302",2,0.7,0.1,55678,52022
"303",3,0.7,0.1,83517,78134
"304",4,0.7,0.1,111356,104331
"305",5,0.7,0.1,139195,130611
"306",1,0.7,0.2,27839,24142
"307",2,0.7,0.2,55678,48357
"308",3,0.7,0.2,83517,72735
"309",4,0.7,0.2,111356,97283
"310",5,0.7,0.2,139195,121996
"311",1,0.7,0.3,27839,22288
"312",2,0.7,0.3,55678,44681
"313",3,0.7,0.3,83517,67318
"314",4,0.7,0.3,111356,90208
"315",5,0.7,0.3,139195,113345
"316",1,0.7,0.4,27839,20431
"317",2,0.7,0.4,55678,40997
"318",3,0.7,0.4,83517,61885
"319",4,0.7,0.4,111356,83109
"320",5,0.7,0.4,139195,104661
"321",1,0.7,0.5,27839,18571
"322",2,0.7,0.5,55678,37303
"323",3,0.7,0.5,83517,56435
"324",4,0.7,0.5,111356,75985
"325",5,0.7,0.5,139195,95943
"326",1,0.7,0.6,27839,16707
"327",2,0.7,0.6,55678,33599
"328",3,0.7,0.6,83517,50967
"329",4,0.7,0.6,111356,68834
"330",5,0.7,0.6,139195,87190
"331",1,0.7,0.7,27839,14839
"332",2,0.7,0.7,55678,29884
"333",3,0.7,0.7,83517,45481
"334",4,0.7,0.7,111356,61657
"335",5,0.7,0.7,139195,78402
"336",1,0.7,0.8,27839,12968
"337",2,0.7,0.8,55678,26161
"338",3,0.7,0.8,83517,39979
